Type,Identification,Field,Locale,Market,Status,Default content,Translated content
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_2.title:3krq5is3t97ho,sv,,,10+ years' experience,10+ års erfarenhet
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_2.description:2z6ybis7mpzbe,sv,,,As a working artist and creative coach,Som yrkesverksam konstnär och kreativ coach
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_3.title:3lse7cnwoa1jh,sv,,,Holistic approach,Holistiskt synsätt
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_3.description:30uab5ldc6k8b,sv,,,Creativity as part of personal development,Skapande som del av personlig utveckling
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.label:2xmacmc2dhq1l,sv,,,Coaching packages,Coaching-paket
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.heading:2ofk9jv9jg4hj,sv,,,Choose the package that suits you,Välj det paket som passar dig
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.subheading:7gocnqo0hp4j,sv,,,"A complimentary 15-minute consultation can be booked separately if you wish, but is not included in the packages.","Gratis 15-minuters konsultation kan bokas separat om du vill, men ingår inte i paketen."
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.title:1eu2thnygsxy9,sv,,,Your Creative Space,Din kreativa plats
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.tagline:qcsuw907s1p,sv,,,A meaningful leisure time,En meningsfull fritid
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.price:1eu2thqnnyox8,sv,,,1 750,1 750
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.price_period:1rld5lx4rnueu,sv,,,SEK/month,kr/mån
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.price_total:145e1jfovpfxt,sv,,,"SEK 5,250 total · 3 months",5 250 kr totalt · 3 månader
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.description:1d7m0yiemji87,sv,,,"Do you want to create but are stuck on ""how"" – or do you miss the joy of creating you once had? Together we'll find a way forward without demands or self-criticism, and make the first step concrete and simple.","Vill du skapa men fastnat i ""hur"" – eller saknar du skaparglädjen du hade förr? Tillsammans hittar vi vägen framåt utan krav eller självkritik, och gör första steget konkret och enkelt."
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.feature_1:2opu8j1rpfzej,sv,,,"3 × coaching sessions (1 per month, 60 min) via video",3 × coachingsamtal (1 per månad á 60 min) per video
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.feature_2:2opu8j1rpg3g8,sv,,,Written summary after each session,Skriftlig sammanfattning efter varje samtal
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.feature_3:2opu8j1rpg0zd,sv,,,Inspiring homework after each session,Inspirerande hemuppgifter efter varje samtal
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.cta_link:o5znhng94lc8,sv,,,/products/din-kreativa-plats,/products/din-kreativa-plats
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_1.modal_body:2wa8n0c5elrad,sv,,,"<p><strong>Do you want to create, but get stuck on how to begin?</strong><br>Or do you miss the joy of creating you once had?</p><p>Your Creative Space is a coaching package for you who long to reconnect with your creative side in a safe and pressure-free environment.</p><p>Perhaps creativity has taken a back seat in a life full of responsibilities. Perhaps the longing is there, but self-criticism or uncertainty takes over. Here you get a calm space where creation is not about performance, but about curiosity, presence and desire.</p><p>Together we explore what awakens your creativity right now. You get support to find your own expression, get started with concrete steps and let creation become a natural and meaningful part of everyday life.</p><p>I serve as a sounding board, mentor and cheerleader in your process.</p><p><strong>This package is for you who</strong></p><ul><li>want to get started with creating but don't know how to begin</li><li>long for more creativity in life</li><li>want to find your way back to the joy of creating</li><li>are looking for a safe space to explore your expression</li><li>want to give creativity a clear place in your everyday life</li><li>are in a phase of life where there is a bit more room for yourself</li><li>want to use your time for something that feels meaningful and creative, something that is just for you</li></ul><p>Perhaps you are in a phase of life where a bit more space has opened up for yourself. The children are older, everyday life looks different, and there is a longing to fill that time with something that feels meaningful, something that is not about responsibility or performance, but just about you and your creation.</p><p><strong>How does it work?</strong></p><p>My coaching consists of conversations, and my experience is that most people need at least three sessions to get an accurate picture of what the coaching can offer and feel comfortable in the process. The sessions are 60 minutes long.</p><p><strong>The first session</strong></p><p>Explores your current situation, your longings and how I can support you going forward. You get help formulating goals, gaining new perspectives on your creation and already here tools to get started.</p><p>After each session you receive a written summary and inspiring homework, practical, creative or reflective, that keeps your work developing between meetings. We end each session with a brief summary and a plan for what you want to focus on until next time.</p><p>All material is sent to you, so that you have your process documented, a personal tool you can return to whenever you want.</p><p>You don't need to prepare for the first session, but if you reflect a little on what you want to get out of the coaching before we meet, we can use the time even more effectively.</p><p><strong>My starting point</strong></p><p><em>I believe in creation as a human necessity, not a performance.<br>I believe in hands as thinking organs.<br>And in the power of working with materials, time and curiosity.</em></p><p><em>This is not a path to becoming something.<br>It is an opportunity to come closer to what is already there.</em></p><p><strong>Over three months you get</strong></p><ul><li>3 coaching sessions (1 per month, 60 minutes) via video</li><li>Written summary after each session</li><li>Inspiring homework that helps you keep creation alive between our meetings</li></ul><p>The homework is simple and joy-based, small steps that help you explore materials, ideas and your personal expression without demands for performance.</p><p><strong>Price</strong><br>SEK 1,750 / month<br>3 months – total SEK 5,250</p>","<p><strong>Vill du skapa, men fastnar i hur du ska börja?</strong><br>Eller saknar du skaparglädjen du en gång hade?</p><p>Din kreativa plats är ett coachingpaket för dig som längtar efter att återknyta kontakten med ditt skapande i ett tryggt och prestationsfritt sammanhang.</p><p>Kanske har kreativiteten fått stå tillbaka i ett liv fullt av ansvar. Kanske finns längtan där, men självkritiken eller osäkerheten tar över. Här får du ett lugnt utrymme där skapandet inte handlar om prestation, utan om nyfikenhet, närvaro och lust.</p><p>Tillsammans utforskar vi vad som väcker din kreativitet just nu. Du får stöd att hitta ditt eget uttryck, komma igång med konkreta steg och låta skapandet bli en naturlig och meningsfull del av vardagen.</p><p>Jag fungerar som bollplank, mentor och påhejare i din process.</p><p><strong>Det här paketet passar dig som</strong></p><ul><li>vill komma igång med skapande men inte vet hur du ska börja</li><li>längtar efter mer kreativitet i livet</li><li>vill hitta tillbaka till skaparglädjen</li><li>söker ett tryggt sammanhang för att utforska ditt uttryck</li><li>vill ge kreativiteten en tydlig plats i din vardag</li><li>befinner dig i en fas i livet där det finns lite mer utrymme för dig själv</li><li>vill använda din tid till något som känns meningsfullt och kreativt, något som är bara för dig</li></ul><p>Kanske befinner du dig i en fas i livet där det har öppnats lite mer utrymme för dig själv. Barnen är större, vardagen ser annorlunda ut, och det finns en längtan efter att fylla den där tiden med något som känns meningsfullt, något som inte handlar om ansvar eller prestation, utan bara om dig och ditt skapande.</p><p><strong>Hur går det till?</strong></p><p>Min coachning består av samtal, och min erfarenhet är att de flesta behöver minst tre tillfällen för att få en rättvisande bild av vad coachningen kan ge och känna sig trygga i processen. Samtalen är 60 minuter långa.</p><p><strong>Det första samtalet</strong></p><p>Utforskar din nuvarande situation, din längtan och hur jag kan stötta dig vidare. Du får hjälp att formulera mål, få nya perspektiv på ditt skapande och redan här verktyg för att komma igång.</p><p>Efter varje samtal får du en skriftlig sammanfattning samt inspirerande hemuppgifter, praktiska, kreativa eller reflekterande, som gör att ditt arbete fortsätter utvecklas mellan mötena. Vi avslutar varje samtal med en kort sammanfattning och en plan för vad du vill fokusera på fram till nästa gång.</p><p>Allt material skickas till dig, så att du har din process dokumenterad, ett personligt verktyg som du kan återvända till när du vill.</p><p>Du behöver inte förbereda dig inför det första samtalet, men om du reflekterar lite över vad du vill få ut av coachningen innan vi ses kan vi använda tiden ännu mer effektivt.</p><p><strong>Min utgångspunkt</strong></p><p><em>Jag tror på skapande som en mänsklig nödvändighet, inte en prestation.<br>Jag tror på händerna som tänkande organ.<br>Och på kraften i att arbeta med material, tid och nyfikenhet.</em></p><p><em>Det här är inte en väg mot att bli något.<br>Det är en möjlighet att komma närmare det som redan finns.</em></p><p><strong>Under tre månader får du</strong></p><ul><li>3 coachingsamtal (1 per månad, 60 minuter) via video</li><li>Skriftlig sammanfattning efter varje samtal</li><li>Inspirerande hemuppgifter som hjälper dig att hålla skapandet levande mellan våra träffar</li></ul><p>Hemuppgifterna är enkla och lustbaserade, små steg som hjälper dig att utforska material, idéer och ditt personliga uttryck utan krav på prestation.</p><p><strong>Pris</strong><br>1 750 kr / månad<br>3 månader – totalt 5 250 kr</p>"
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.title:e3juvf330qq,sv,,,From Idea to Reality,Idé till verklighet
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.tagline:619lxa0ah6n2,sv,,,Go from idea to execution,Gå från idé till genomförande
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.badge:e3jv6arc3hj,sv,,,Most popular,Populärast
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.price:e3juyake34f,sv,,,1 750,1 750
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.price_period:135t10zqyjb5h,sv,,,SEK/month,kr/mån
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.price_total:dxe5kse5095e,sv,,,"SEK 5,250 total · 3 months",5 250 kr totalt · 3 månader
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.description:jaelwlj56twk,sv,,,"Do you have an idea that you want to bring to life, but don't know how to start? Here you'll get support throughout the entire process: from artistic guidance to practical advice on materials and techniques.","Har du en idé som vill ta form, men vet inte hur du ska börja? Här får du stöd i hela processen: från konstnärlig vägledning till handfasta råd om material och tekniker."
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.feature_1:3hlpleh7vevdk,sv,,,"3 × coaching sessions (1 per month, 60 min) via video",3 × coachingsamtal (1 per månad á 60 min) per video
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.feature_2:3hlpleh7veul7,sv,,,Written summary after each session,Skriftlig sammanfattning efter varje samtal
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.feature_3:3hlpleh7vetsq,sv,,,Inspiring homework after each session,Inspirerande hemuppgifter efter varje samtal
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.cta_link:1n0nleylpm5sb,sv,,,/products/ide-till-verklighet,/products/ide-till-verklighet
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_2.modal_body:23q9cyyzjr1ly,sv,,,"<p><strong>Do you have an idea that wants to take shape, but don't know how to begin, or how to take it all the way?</strong></p><p>Perhaps there is a clear vision inside you, but you're stuck on how to actually make it happen.</p><p>From Idea to Reality is a coaching package for you who want to give your idea both form and direction and see it become reality. Here you get support throughout the entire process: from artistic guidance and idea development to practical advice on materials, techniques and methods to carry out your project.</p><p>Perhaps you have carried your idea for a long time. Perhaps you have started something, but got stuck in doubt, perfectionism or overwhelming possibilities. It's easy to stay in the abstract, in thoughts and plans without really stepping into the doing.</p><p>Here you get a context where your idea can land in the physical. We work with both artistic perspectives and practical tools, so that ideas can be turned into real forms, materials and expressions.</p><p>Together we explore what your idea wants to become. We break down the process into concrete steps and let you work forward at a sustainable pace – without losing touch with desire.</p><p>I serve as a sounding board, guide and a support that keeps you in motion, both in the artistic process and when it comes to practical decisions about materials, techniques and implementation.</p><p><strong>This package is for you who</strong></p><ul><li>carry an idea you want to realize but don't know how to begin</li><li>want to take your creation seriously and see what it can become</li><li>want support in both artistic decisions and practical implementation</li><li>have started creating but lost direction or energy</li><li>easily get stuck in self-criticism, doubt or perfectionism</li><li>long to give your inner world an outer expression</li></ul><p>Perhaps you are at a stage where it's no longer enough to just think, gather inspiration or dream. There is a longing to actually do – to work with hands, materials and techniques. To let something take shape, even if it's not perfect.</p><p><strong>How does it work?</strong></p><p>My coaching consists of conversations, and my experience is that most people need at least three sessions to get an accurate picture of what the coaching can offer and feel comfortable in the process. The sessions are 60 minutes long.</p><p><strong>The first session</strong></p><p>We explore your idea, your direction and what stands in the way of you moving forward. You get help clarifying what you want to create and begin translating it into concrete actions – both artistic and practical. Already here we set something in motion.</p><p>After each session you receive a written summary and inspiring, action-based homework – tailored to you, your project and your material choices – that help you continue working between our meetings. We end each session with a clear direction for the next step.</p><p>All material is sent to you, so that you have your process collected – a living document of your creation that you can return to.</p><p>You don't need to prepare for the first session, but if you reflect on your idea and what you long to create, we can use the time even more effectively.</p><p><strong>My starting point</strong></p><p><em>I believe that ideas live in the body as much as in the mind.<br>I believe in hands as a way to understand.<br>And that creation needs both direction, freedom and concrete tools to grow.</em></p><p><em>This is not about making something perfect.<br>It's about letting something come into being.</em></p><p><strong>Over three months you get</strong></p><ul><li>3 coaching sessions (1 per month, 60 minutes) via video</li><li>Written summary after each session</li><li>Inspiring and concrete homework that moves your creation forward between our meetings, including support for material choices and techniques</li></ul><p>The homework helps you work with your idea in practice – through materials, sketches, reflection and action – in small steps that make the process alive and possible.</p><p><strong>Price</strong><br>SEK 1,750 / month<br>3 months – total SEK 5,250</p>","<p><strong>Har du en idé som vill ta form, men vet inte hur du ska börja, eller hur du ska ta den hela vägen?</strong></p><p>Kanske finns en tydlig bild inom dig, men som fastnat i hur genomförandet ska gå till.</p><p>Idé till verklighet är ett coachingpaket för dig som vill ge din idé både form och riktning och se den bli verklighet. Här får du stöd i hela processen: från konstnärlig vägledning och idéutveckling till handfasta råd om material, tekniker och metoder för att genomföra ditt projekt.</p><p>Kanske har du burit på din idé länge. Kanske har du påbörjat något, men fastnat i tvivel, perfektionism eller överväldigande möjligheter. Det är lätt att stanna i det abstrakta, i tankar och planer utan att riktigt ta steget in i görandet.</p><p>Här får du ett sammanhang där din idé får landa i det fysiska. Vi arbetar både med konstnärliga perspektiv och praktiska verktyg, så att idéerna kan omsättas i verkliga former, material och uttryck.</p><p>Tillsammans utforskar vi vad din idé vill bli. Vi bryter ner processen i konkreta steg och låter dig arbeta framåt i en takt som är hållbar – utan att tappa kontakt med lusten.</p><p>Jag fungerar som bollplank, vägledare och ett stöd som håller dig kvar i rörelse, både i den konstnärliga processen och när det gäller handfasta beslut kring material, tekniker och praktiska genomföranden.</p><p><strong>Det här paketet passar dig som</strong></p><ul><li>bär på en idé du vill gestalta men inte vet hur du ska börja</li><li>vill ta ditt skapande på allvar och se vad det kan bli</li><li>vill ha stöd i både konstnärliga beslut och praktiska genomföranden</li><li>har påbörjat ett skapande men tappat riktning eller energi</li><li>lätt fastnar i självkritik, tvivel eller perfektionism</li><li>längtar efter att ge din inre värld ett yttre uttryck</li></ul><p>Kanske befinner du dig i ett skede där det inte längre räcker att bara tänka, samla inspiration eller drömma. Det finns en längtan efter att faktiskt göra – att arbeta med händerna, material och tekniker. Att låta något ta form, även om det inte blir perfekt.</p><p><strong>Hur går det till?</strong></p><p>Min coachning består av samtal, och min erfarenhet är att de flesta behöver minst tre tillfällen för att få en rättvisande bild av vad coachningen kan ge och känna sig trygga i processen. Samtalen är 60 minuter långa.</p><p><strong>Det första samtalet</strong></p><p>Vi utforskar din idé, din riktning och vad som står i vägen för att du ska komma vidare. Du får hjälp att förtydliga vad du vill skapa och börja översätta det till konkreta handlingar – både konstnärliga och praktiska. Redan här sätter vi något i rörelse.</p><p>Efter varje samtal får du en skriftlig sammanfattning samt inspirerande och handlingsbaserade hemuppgifter – anpassade efter dig, ditt projekt och dina materialval – som hjälper dig att fortsätta arbeta mellan våra möten. Vi avslutar varje samtal med en tydlig riktning för nästa steg.</p><p>Allt material skickas till dig, så att du har din process samlad – ett levande dokument över ditt skapande som du kan återvända till.</p><p>Du behöver inte förbereda dig inför det första samtalet, men om du reflekterar över din idé och vad du längtar efter att skapa kan vi använda tiden ännu mer effektivt.</p><p><strong>Min utgångspunkt</strong></p><p><em>Jag tror att idéer lever i kroppen lika mycket som i tanken.<br>Jag tror på händerna som ett sätt att förstå.<br>Och på att skapande behöver både riktning, frihet och konkreta verktyg för att kunna växa.</em></p><p><em>Det här handlar inte om att göra något perfekt.<br>Det handlar om att låta något bli till.</em></p><p><strong>Under tre månader får du</strong></p><ul><li>3 coachingsamtal (1 per månad, 60 minuter) via video</li><li>Skriftlig sammanfattning efter varje samtal</li><li>Inspirerande och konkreta hemuppgifter som för ditt skapande framåt mellan våra träffar, inklusive stöd för materialval och tekniker</li></ul><p>Hemuppgifterna hjälper dig att arbeta med din idé i praktiken – genom material, skisser, reflektion och handling – i små steg som gör processen levande och möjlig.</p><p><strong>Pris</strong><br>1 750 kr / månad<br>3 månader – totalt 5 250 kr</p>"
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.title:8p3qrkd0u4rn,sv,,,Kickstart,Kickstart
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.tagline:29d4qzyu36by7,sv,,,A kickstart for your creativity,En kickstart för din kreativitet
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.badge:8p3qrzujamfa,sv,,,Wellness allowance,Friskvårdsbidrag
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.price:8p3qrn4ta0dq,sv,,,2 500,2 500
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.price_period:39zcg1fuqkyic,sv,,,SEK,kr
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.price_total:gbdnhixdoptf,sv,,,One-time cost · No commitment,Engångskostnad · Ingen bindning
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.description:nvzdpltzw3wl,sv,,,Take a first step towards a more creative life. A 60-minute session followed by inspiring homework every month for 12 months that keeps the creativity alive.,Ta ett första steg mot ett mer kreativt liv. Ett 60-minuters samtal följt av inspirerande hemuppgifter varje månad under 12 månader som håller kreativiteten levande.
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.feature_1:vvmc36zxsmd5,sv,,,"1 × coaching session, 60 min, via video",1 × coachingsamtal á 60 min per video
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.feature_2:vvmc36zxsn96,sv,,,Written summary of the session,Skriftlig sammanfattning av samtalet
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.feature_3:vvmc36zxsksb,sv,,,Inspiring homework every month for 12 months,Inspirerande hemuppgifter varje månad i 12 månader
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.cta_link:m79c6vjrkphm,sv,,,/products/kickstart-coaching,/products/kickstart-coaching
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.products.product_3.modal_body:1tc80sf8fugo7,sv,,,"<p><strong>Do you feel that creativity wants to emerge, but it's hard to know how to begin?</strong></p><p>Perhaps you want to use your wellness allowance for something that brings both meaning and balance to life, and that awakens joy, curiosity and desire in your creation.</p><p>Kickstart is a coaching package for you who want to take a first step towards a more creative life. The package consists of a 60-minute video session where we together explore your idea, your longing and how you can begin turning inspiration into action. The session gives you support, new perspectives and practical advice on both idea development and creative methods, without it being about performance or perfection.</p><p>The real heart of Kickstart is what follows after the session: an inspiring homework assignment sent to you every month for 12 months. The assignments are designed to awaken curiosity, creativity and desire to create, and are small steps that help you keep your creativity alive year-round. They combine creation with movement, exploration in nature and experiments with materials and techniques, giving you the opportunity to let creativity become a natural part of everyday life.</p><p><strong>This package is for you who</strong></p><ul><li>want to combine creativity with movement and exploration in nature</li><li>long to get started with creative making</li><li>want to experience the positive health effects of creation, play and presence</li><li>want inspiration and guidance without long-term commitment</li><li>want homework that keeps creativity alive for a full year</li><li>want to give yourself a meaningful break from everyday demands and performance</li></ul><p>Kickstart is an opportunity to open the door to your creativity, feel the process and let inspiration and creative desire find their place, with support and direction from the session, and with homework that follows you throughout the year.</p><p><strong>How does it work?</strong></p><p>During the 60-minute session, we explore together what awakens your creativity right now. You get support to find direction, new perspectives and concrete advice that helps you turn inspiration into action.</p><p><strong>After the session you receive:</strong></p><ul><li>Written summary of the session</li><li>An inspiring homework assignment every month for 12 months, small missions that awaken desire, curiosity and creative energy, and that help you keep creation alive in everyday life</li></ul><p>The homework is simple, joyful and action-based, small reminders that creativity doesn't have to be performance, but can be play, exploration and joy.</p><p><strong>My starting point</strong></p><p><em>I believe in creation as a human necessity, a way to approach oneself, find balance and feel vitality.<br>I believe in curiosity, hands as tools for thought, and in small steps that create lasting impact.</em></p><p><em>This is not about performing.<br>It's about taking the first step and letting creativity become a part of your life, with inspiration that follows you every month.</em></p><p><strong>Price</strong><br>SEK 2,500<br>One-time cost · No commitment</p>","<p><strong>Känner du att kreativiteten vill komma fram, men att det är svårt att veta hur du ska börja?</strong></p><p>Kanske vill du använda friskvårdsbidraget till något som ger både mening och balans i livet, och som väcker glädje, nyfikenhet och lust i ditt skapande.</p><p>Kickstart är ett coachingpaket för dig som vill ta ett första steg mot ett mer kreativt liv. Paketet består av ett 60-minuters samtal via video, där vi tillsammans utforskar din idé, din längtan och hur du kan börja omsätta inspiration till handling. Samtalet ger dig stöd, nya perspektiv och handfasta råd kring både idéutveckling och kreativa metoder, utan att det handlar om prestation eller perfektion.</p><p>Det verkliga hjärtat i Kickstart är det som följer efter samtalet: en inspirerande hemuppgift skickad till dig varje månad under 12 månader. Uppgifterna är utformade för att väcka nyfikenhet, kreativitet och lust till skapande, och är små steg som hjälper dig att hålla din kreativitet levande året runt. De kombinerar skapande med rörelse, utforskande i naturen och experiment med material och tekniker, och ger dig möjlighet att låta kreativiteten bli en naturlig del av vardagen.</p><p><strong>Det här paketet passar dig som</strong></p><ul><li>vill kombinera kreativitet med rörelse och utforskande i naturen</li><li>längtar efter att komma igång med kreativt skapande</li><li>vill uppleva de positiva hälsoeffekterna av skapande, lek och närvaro</li><li>vill få inspiration och vägledning utan långsiktigt engagemang</li><li>vill ha hemuppgifter som håller kreativiteten levande under ett helt år</li><li>vill ge dig själv en meningsfull paus från vardagens krav och prestation</li></ul><p>Kickstart är en möjlighet att öppna dörren till din kreativitet, känna på processen och låta inspiration och skaparlust få plats, med stöd och riktning från samtalet, och med hemuppgifterna som följer dig under året.</p><p><strong>Hur går det till?</strong></p><p>Under det 60-minuters samtalet utforskar vi tillsammans vad som väcker din kreativitet just nu. Du får stöd att hitta riktning, nya perspektiv och konkreta råd som hjälper dig att omsätta inspiration i handling.</p><p><strong>Efter samtalet får du:</strong></p><ul><li>Skriftlig sammanfattning av samtalet</li><li>En inspirerande hemuppgift varje månad under 12 månader, små uppdrag som väcker lust, nyfikenhet och kreativ energi, och som hjälper dig att hålla skapandet levande i vardagen</li></ul><p>Hemuppgifterna är enkla, lustfyllda och handlingsbaserade, små påminnelser om att kreativitet inte behöver vara prestation, utan kan vara lek, utforskande och glädje.</p><p><strong>Min utgångspunkt</strong></p><p><em>Jag tror på skapande som en mänsklig nödvändighet, ett sätt att närma sig sig själv, hitta balans och känna livskraft.<br>Jag tror på nyfikenhet, händerna som verktyg för tanke, och på små steg som skapar långvarig effekt.</em></p><p><em>Det här handlar inte om att prestera.<br>Det handlar om att ta första steget och låta kreativiteten bli en del av ditt liv, med inspiration som följer dig varje månad.</em></p><p><strong>Pris</strong><br>2 500 kr<br>Engångskostnad · Ingen bindning</p>"
